file,relative_path,rows,bytes,description
messages_raw.csv,data/processed/messages_raw.csv,72515,31672532,Harvested message metadata aligned from Pipermail HTML indexes and monthly mbox headers.
monthly_counts.csv,data/processed/monthly_counts.csv,427,4665,Message volume by archive month.
months.csv,data/processed/months.csv,427,103244,Generated atlas output.
named_coparticipation_network_summary.csv,data/processed/named_coparticipation_network_summary.csv,47166,6142541,Named co-participation network summary by topic.
named_reply_network_summary.csv,data/processed/named_reply_network_summary.csv,24591,3850510,"Named direct-reply network summary by decade, topic, and confidence."
network_edges.csv,data/processed/network_edges.csv,40760,3694063,Undirected co-participation edges: two authors appear in the same thread.
noisy_subjects.csv,data/processed/noisy_subjects.csv,397,52668,Generated atlas output.
parse_issues.csv,data/processed/parse_issues.csv,8,326,Generated atlas output.
renou_coverage.csv,data/processed/renou_coverage.csv,2,284,Coverage counts for the sparse Renou subject-line layer.
renou_export_index.csv,data/processed/renou_export_index.csv,75,6394,Index of filtered Renou state/register CSV downloads.
renou_message_matches.csv,data/processed/renou_message_matches.csv,9128,4651953,Sparse message-level Renou state/register matches with matched terms and confidence.
renou_messages.csv,data/processed/renou_messages.csv,62214,19385451,Row-per-message sparse Renou state/register index derived from subject-line evidence.
renou_register_atharva_messages.csv,data/processed/renou_register_atharva_messages.csv,66,28635,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_atharva_summary.csv,data/processed/renou_register_atharva_summary.csv,22,1869,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_atharva_threads.csv,data/processed/renou_register_atharva_threads.csv,46,15268,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_bauddha_messages.csv,data/processed/renou_register_bauddha_messages.csv,92,41688,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_bauddha_summary.csv,data/processed/renou_register_bauddha_summary.csv,26,2143,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_bauddha_threads.csv,data/processed/renou_register_bauddha_threads.csv,46,18657,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_bhasya_messages.csv,data/processed/renou_register_bhasya_messages.csv,294,128346,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_bhasya_summary.csv,data/processed/renou_register_bhasya_summary.csv,64,5420,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_bhasya_threads.csv,data/processed/renou_register_bhasya_threads.csv,155,51698,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_brahmana_messages.csv,data/processed/renou_register_brahmana_messages.csv,94,42461,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_brahmana_summary.csv,data/processed/renou_register_brahmana_summary.csv,23,2030,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_brahmana_threads.csv,data/processed/renou_register_brahmana_threads.csv,48,18822,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_epic_messages.csv,data/processed/renou_register_epic_messages.csv,563,246155,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_epic_summary.csv,data/processed/renou_register_epic_summary.csv,104,7835,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_epic_threads.csv,data/processed/renou_register_epic_threads.csv,336,122392,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_epig_messages.csv,data/processed/renou_register_epig_messages.csv,355,152364,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_epig_summary.csv,data/processed/renou_register_epig_summary.csv,89,7456,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_epig_threads.csv,data/processed/renou_register_epig_threads.csv,208,65691,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_hors_inde_messages.csv,data/processed/renou_register_hors_inde_messages.csv,13,5950,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_hors_inde_summary.csv,data/processed/renou_register_hors_inde_summary.csv,5,564,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_hors_inde_threads.csv,data/processed/renou_register_hors_inde_threads.csv,12,3640,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_jaina_messages.csv,data/processed/renou_register_jaina_messages.csv,366,164493,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_jaina_summary.csv,data/processed/renou_register_jaina_summary.csv,101,7712,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_jaina_threads.csv,data/processed/renou_register_jaina_threads.csv,289,100289,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_karika_messages.csv,data/processed/renou_register_karika_messages.csv,17,7373,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_karika_summary.csv,data/processed/renou_register_karika_summary.csv,3,359,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_karika_threads.csv,data/processed/renou_register_karika_threads.csv,8,2514,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_katha_messages.csv,data/processed/renou_register_katha_messages.csv,174,75771,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_katha_summary.csv,data/processed/renou_register_katha_summary.csv,49,3958,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_katha_threads.csv,data/processed/renou_register_katha_threads.csv,115,35937,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_kavya_messages.csv,data/processed/renou_register_kavya_messages.csv,522,224493,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_kavya_summary.csv,data/processed/renou_register_kavya_summary.csv,102,8435,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_kavya_threads.csv,data/processed/renou_register_kavya_threads.csv,256,85935,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_natya_messages.csv,data/processed/renou_register_natya_messages.csv,124,53905,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_natya_summary.csv,data/processed/renou_register_natya_summary.csv,25,2180,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_natya_threads.csv,data/processed/renou_register_natya_threads.csv,72,23897,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_purana_messages.csv,data/processed/renou_register_purana_messages.csv,161,71214,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_purana_summary.csv,data/processed/renou_register_purana_summary.csv,37,3021,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_purana_threads.csv,data/processed/renou_register_purana_threads.csv,91,34852,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_rgveda_messages.csv,data/processed/renou_register_rgveda_messages.csv,523,222900,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_rgveda_summary.csv,data/processed/renou_register_rgveda_summary.csv,61,4921,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_rgveda_threads.csv,data/processed/renou_register_rgveda_threads.csv,283,91141,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_smrti_messages.csv,data/processed/renou_register_smrti_messages.csv,77,33213,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_smrti_summary.csv,data/processed/renou_register_smrti_summary.csv,23,1980,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_smrti_threads.csv,data/processed/renou_register_smrti_threads.csv,41,12842,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_summary.csv,data/processed/renou_register_summary.csv,939,75399,"Renou register-axis summary by year, topic, and list function."
renou_register_sutra_messages.csv,data/processed/renou_register_sutra_messages.csv,109,47382,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_sutra_summary.csv,data/processed/renou_register_sutra_summary.csv,26,2106,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_sutra_threads.csv,data/processed/renou_register_sutra_threads.csv,68,22511,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_tantra_messages.csv,data/processed/renou_register_tantra_messages.csv,211,92480,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_tantra_summary.csv,data/processed/renou_register_tantra_summary.csv,60,4774,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_tantra_threads.csv,data/processed/renou_register_tantra_threads.csv,122,42580,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_upanisad_messages.csv,data/processed/renou_register_upanisad_messages.csv,145,64781,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_upanisad_summary.csv,data/processed/renou_register_upanisad_summary.csv,29,2442,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_upanisad_threads.csv,data/processed/renou_register_upanisad_threads.csv,80,31470,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_vyakarana_messages.csv,data/processed/renou_register_vyakarana_messages.csv,649,299885,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_vyakarana_summary.csv,data/processed/renou_register_vyakarana_summary.csv,81,7454,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_vyakarana_threads.csv,data/processed/renou_register_vyakarana_threads.csv,324,130003,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_yajus_messages.csv,data/processed/renou_register_yajus_messages.csv,24,10633,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_yajus_summary.csv,data/processed/renou_register_yajus_summary.csv,9,773,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_register_yajus_threads.csv,data/processed/renou_register_yajus_threads.csv,13,5105,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_state_i_messages.csv,data/processed/renou_state_i_messages.csv,1530,635096,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_state_i_summary.csv,data/processed/renou_state_i_summary.csv,147,10138,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_state_i_threads.csv,data/processed/renou_state_i_threads.csv,875,264117,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_state_ii_messages.csv,data/processed/renou_state_ii_messages.csv,724,331608,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_state_ii_summary.csv,data/processed/renou_state_ii_summary.csv,91,7366,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_state_ii_threads.csv,data/processed/renou_state_ii_threads.csv,365,142095,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_state_iii_messages.csv,data/processed/renou_state_iii_messages.csv,1216,521063,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_state_iii_summary.csv,data/processed/renou_state_iii_summary.csv,137,11952,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_state_iii_threads.csv,data/processed/renou_state_iii_threads.csv,638,225290,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_state_iv_messages.csv,data/processed/renou_state_iv_messages.csv,327,142734,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_state_iv_summary.csv,data/processed/renou_state_iv_summary.csv,68,5258,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_state_iv_threads.csv,data/processed/renou_state_iv_threads.csv,181,63630,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_state_summary.csv,data/processed/renou_state_summary.csv,582,45550,"Renou I-V state-axis summary by year, topic, and list function."
renou_state_v_messages.csv,data/processed/renou_state_v_messages.csv,752,325262,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_state_v_summary.csv,data/processed/renou_state_v_summary.csv,139,11264,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_state_v_threads.csv,data/processed/renou_state_v_threads.csv,530,172618,Filtered Renou state/register CSV export used by the clickable dashboard tables.
renou_thread_matches.csv,data/processed/renou_thread_matches.csv,3314,1055419,Thread-level rollup of sparse Renou state/register matches.
reply_confidence_year_counts.csv,data/processed/reply_confidence_year_counts.csv,94,3174,Generated atlas output.
reply_edges.csv,data/processed/reply_edges.csv,42808,18781341,"Directed reply edges resolved from In-Reply-To, References, or conservative thread inference."
reply_network_edges.csv,data/processed/reply_network_edges.csv,20823,1096293,"Aggregated directed reply edge weights by source, target, and confidence."
review_import_audit.csv,data/processed/review_import_audit.csv,25,2618,Audit trail for importing human review notes into curated case metadata.
review_queue_summary.csv,data/processed/review_queue_summary.csv,6,532,Generated atlas output.
search_authors.json,data/processed/search_authors.json,3152,1719578,Static search index for conservative author summaries.
search_messages_sample.json,data/processed/search_messages_sample.json,4068,1536731,Compact metadata-only message sample for static search.
search_threads.json,data/processed/search_threads.json,250,184873,Static search index for generated thread pages and case-study candidate status.
search_topics.json,data/processed/search_topics.json,12,3176,Static search index for topic profiles.
skipped_mbox_rows.csv,data/processed/skipped_mbox_rows.csv,12,1735,Extra mbox rows skipped during subject-based archive alignment.
thread_explorer_index.csv,data/processed/thread_explorer_index.csv,250,70968,Index of generated static thread explorer pages for case-study candidates.
thread_typology.csv,data/processed/thread_typology.csv,24075,2497494,Generated atlas output.
threads.csv,data/processed/threads.csv,24075,3091399,Reconstructed thread-level metadata.
topic_decade_counts.csv,data/processed/topic_decade_counts.csv,48,1609,Topic message counts by decade.
topic_decade_share.csv,data/processed/topic_decade_share.csv,48,1954,Generated atlas output.
topic_year_counts.csv,data/processed/topic_year_counts.csv,405,12601,Topic message counts by year.
yearly_counts.csv,data/processed/yearly_counts.csv,37,377,Message volume by year.
